state,year,megatonnes CO2
SD,1994,5.4002417994327
SD,1995,5.5200694232816
SD,1996,5.527852697636133
SD,1997,5.3803724018737
SD,1998,5.548852836113033
SD,1999,5.700156822733633
SD,2000,5.835934961540199
SD,2001,5.722383118779799
SD,2002,6.258510328134533
SD,2003,5.901398696804966
SD,2004,5.980360030540866
SD,2005,6.072661350032567
SD,2006,6.103284069007399
SD,2007,6.330876683282432
SD,2008,5.933298491823267
SD,2009,6.130115504006266
SD,2010,6.386055798865599
SD,2011,6.347898198985932
SD,2012,6.657801793179533
SD,2013,6.419150910694134
SD,2014,6.651437183982067
SD,2015,6.775153365719198
SD,2016,6.6832359984445
SD,2017,6.6445513175536
SD,2018,6.737466041909165
SD,2019,6.679238574539299
SD,2020,6.510752427897666
SD,2021,6.856982551017133
SD,2022,6.813689824523999
TN,1990,32.861978286478
TN,1991,31.16461478569487
TN,1992,32.57733569210816
TN,1993,34.2238539143226
TN,1994,35.0747499536368
TN,1995,36.97940596862269
TN,1996,38.27898046836123
TN,1997,38.6191887549072
TN,1998,39.50206289835667
TN,1999,40.7194205317207
TN,2000,41.72417661057359
TN,2001,41.34539406654874
TN,2002,43.8300496984636
TN,2003,45.37457014931096
TN,2004,45.22163881088223
TN,2005,45.3277872194807
TN,2006,45.68915594028536
TN,2007,45.70993677001584
TN,2008,42.10521642762087
TN,2009,40.643696690245
TN,2010,42.2903116318496
TN,2011,41.8782678204011
TN,2012,40.35448020606677
TN,2013,40.39384301463866
TN,2014,41.39731743275701
TN,2015,42.02623821036153
TN,2016,42.75450584120981
TN,2017,43.22304441197014
