date,province,year,megatonnes CO2,month
2012-04-01,QC,2012,31.4501243,4
2012-05-01,QC,2012,31.41462548196721,5
2012-06-01,QC,2012,31.377943369999997,6
2012-07-01,QC,2012,31.342444551967212,7
2012-08-01,QC,2012,31.30576244,8
2012-09-01,QC,2012,31.269080328032786,9
2012-10-01,QC,2012,31.23358151,10
2012-11-01,QC,2012,31.196899398032784,11
2012-12-01,QC,2012,31.16140058,12
2013-01-01,QC,2013,31.092811198767123,1
2013-02-01,QC,2013,31.024221817534244,2
2013-03-01,QC,2013,30.962270118356162,3
2013-04-01,QC,2013,30.893680737123287,4
2013-05-01,QC,2013,30.827303916575342,5
2013-06-01,QC,2013,30.758714535342463,6
2013-07-01,QC,2013,30.69233771479452,7
2013-08-01,QC,2013,30.623748333561643,8
2013-09-01,QC,2013,30.555158952328767,9
2013-10-01,QC,2013,30.488782131780823,10
2013-11-01,QC,2013,30.420192750547944,11
2013-12-01,QC,2013,30.35381593,12
2011-01-01,SK,2011,9.419054654567123,1
2011-02-01,SK,2011,9.355710436134245,2
2011-03-01,SK,2011,9.298496303356163,3
2011-04-01,SK,2011,9.235152084923287,4
2011-05-01,SK,2011,9.173851228375343,5
2011-06-01,SK,2011,9.110507009942467,6
2011-07-01,SK,2011,9.04920615339452,7
2011-08-01,SK,2011,8.985861934961644,8
2011-09-01,SK,2011,8.922517716528768,9
2011-10-01,SK,2011,8.861216859980821,10
2011-11-01,SK,2011,8.797872641547945,11
2011-12-01,SK,2011,8.736571785,12
2012-01-01,SK,2012,8.814841230833334,1
2012-02-01,SK,2012,8.893110676666668,2
2012-03-01,SK,2012,8.966330480833333,3
2012-04-01,SK,2012,9.044599926666667,4
2012-05-01,SK,2012,9.120344551666667,5
2012-06-01,SK,2012,9.1986139975,6
2012-07-01,SK,2012,9.274358622500001,7
2012-08-01,SK,2012,9.352628068333335,8
2012-09-01,SK,2012,9.430897514166668,9
2012-10-01,SK,2012,9.506642139166667,10
2012-11-01,SK,2012,9.584911585,11
2012-12-01,SK,2012,9.66065621,12
2013-01-01,SK,2013,9.724675438739727,1
2013-02-01,SK,2013,9.788694667479453,2
2013-03-01,SK,2013,9.846518486986302,3
2013-04-01,SK,2013,9.910537715726027,4
2013-05-01,SK,2013,9.972491808054794,5
2013-06-01,SK,2013,10.036511036794522,6
2013-07-01,SK,2013,10.098465129123289,7
2013-08-01,SK,2013,10.162484357863015,8
2013-09-01,SK,2013,10.22650358660274,9
2013-10-01,SK,2013,10.288457678931508,10
2013-11-01,SK,2013,10.352476907671234,11
2013-12-01,SK,2013,10.414431,12
